sex,c_age_cat,race_African-American,race_Caucasian,priors_count,juv_other_count,juv_misd_count,juv_fel_count,c_charge_degree,decile_score,c_length_of_stay,is_recid,two_year_recid
1,1,1,0,0,0,0,0,1,4,0.00125,0,0
1,1,0,1,1,0,0,0,1,2,0.00125,1,1
0,1,0,0,0,0,0,0,1,2,0.00125,0,0
1,1,1,0,15,1,0,0,1,5,0.17,1,0
1,0,1,0,2,0,0,0,1,4,0.0025,1,1
1,1,0,0,0,0,0,0,0,7,0.030000000000000002,0,0
1,2,1,0,4,0,0,0,0,1,0.00125,0,0
1,2,0,1,8,0,0,0,1,5,0.0175,0,0
1,1,1,0,5,0,0,0,1,3,0.00125,0,0
1,1,1,0,15,2,1,1,1,10,0.0025,1,1
1,1,0,1,4,0,0,0,0,2,0.0025,1,1
1,0,1,0,1,1,0,0,1,4,0.0025,1,1
1,1,1,0,4,0,0,0,1,9,0.02375,1,1
1,2,0,0,0,0,0,0,0,1,0.0,0,0
1,1,1,0,6,0,1,0,1,6,0.03875,1,1
1,1,0,0,0,0,0,0,0,1,0.0025,0,0
0,2,1,0,0,0,0,0,0,1,0.005,0,0
1,1,0,0,6,0,0,0,1,1,0.3025,1,1
1,0,0,0,1,0,0,0,1,4,0.0025,0,0
1,1,1,0,1,0,0,0,0,4,0.00625,0,0
1,1,1,0,5,0,0,0,1,6,0.0025,1,1
1,1,0,1,1,1,0,0,1,6,0.018750000000000003,1,1
1,1,1,0,2,0,0,0,1,2,0.005,0,0
1,0,1,0,1,0,0,0,0,3,0.02125,1,1
1,0,0,1,0,0,0,0,1,8,0.07250000000000001,0,0
0,0,1,0,1,0,0,0,1,4,0.00375,1,1
1,1,1,0,0,0,0,0,1,2,0.0025,0,0
1,1,1,0,1,0,0,0,0,2,0.0025,0,0
1,1,1,0,8,0,0,0,0,10,0.0025,1,1
1,2,0,0,0,0,0,0,1,1,0.00125,1,1
1,1,1,0,14,1,6,1,1,10,0.01,1,1
1,0,0,0,0,0,0,0,1,5,0.0025,1,1
1,0,1,0,2,0,0,1,1,9,0.03875,1,1
0,1,1,0,1,0,0,0,0,2,0.00125,0,0
1,1,1,0,9,0,0,0,1,7,0.005,1,1
1,0,0,1,7,0,0,0,1,8,0.00125,1,1
1,0,0,0,1,0,0,0,1,6,0.005,1,1
1,0,0,1,9,0,0,0,1,8,0.00125,1,1
0,0,0,1,0,0,0,0,1,7,0.00125,0,0
1,1,0,1,2,0,0,0,1,1,0.0,1,1
0,2,0,1,0,0,0,0,0,1,0.00125,0,0
0,1,0,0,0,0,0,0,0,1,0.0025,0,0
1,0,1,0,1,0,0,0,0,4,0.012499999999999999,1,1
1,1,1,0,1,0,0,0,1,2,0.00125,0,0
0,1,0,1,0,0,0,0,1,1,0.0025,1,1
1,0,0,1,8,2,1,0,1,6,0.01625,1,1
1,1,0,1,0,0,0,0,1,4,0.007500000000000001,0,0
1,1,0,1,0,0,0,0,0,5,0.04875,0,0
0,1,0,1,1,0,0,0,1,4,0.13375,0,0
1,1,0,1,1,0,0,0,1,1,0.0025,0,0
1,0,1,0,3,0,0,0,1,9,0.008749999999999999,1,1
1,1,0,1,5,0,0,0,0,4,0.00375,1,1
1,1,0,1,0,0,0,0,1,5,0.018750000000000003,0,0
1,1,1,0,5,0,0,0,1,5,0.00125,1,1
1,1,1,0,3,0,0,0,1,2,0.0025,0,0
1,1,0,1,1,0,0,0,1,2,0.00125,1,1
1,1,1,0,10,0,1,0,1,9,0.22125,1,1
1,0,1,0,0,0,0,0,1,4,0.00125,1,1
1,1,1,0,28,2,12,0,1,8,0.0025,1,1
1,1,1,0,1,0,0,0,0,7,0.0025,0,0
0,1,0,0,1,0,0,0,1,2,0.0025,0,0
1,1,0,1,13,0,0,0,1,10,0.59,1,1
1,1,1,0,3,0,0,0,1,9,0.00125,1,1
1,2,0,1,3,0,0,0,0,9,0.00125,0,0
1,1,1,0,19,0,0,0,1,10,0.00125,1,1
1,1,0,1,6,0,0,0,1,3,0.0,0,0
0,1,0,1,2,0,0,0,1,4,0.005,0,0
1,1,0,1,1,0,0,0,0,2,0.005,0,0
0,1,0,0,2,0,0,0,0,2,0.0025,0,0
1,1,0,1,0,0,0,0,0,2,0.00125,1,1
0,0,1,0,0,0,0,0,0,2,0.00375,0,0
0,1,0,1,10,0,1,0,1,4,0.01,1,1
1,1,0,1,2,0,0,0,0,2,0.0,1,1
1,1,1,0,3,0,0,0,1,7,0.01125,1,1
1,1,0,1,2,0,0,0,0,3,0.02,1,1
1,1,1,0,1,0,0,0,0,2,0.0025,1,0
1,2,0,1,1,0,0,0,1,2,0.00125,1,1
0,0,1,0,1,0,0,1,1,10,0.00375,0,0
0,1,0,1,0,0,0,0,0,1,0.00125,0,0
1,1,1,0,9,0,1,1,1,8,0.0175,1,1
1,1,1,0,11,0,0,0,1,6,0.0025,1,1
1,1,1,0,8,0,0,0,0,5,0.00125,1,1
0,1,1,0,0,0,0,0,1,3,0.0025,1,1
0,1,1,0,7,0,0,0,1,9,0.03375,1,1
1,1,1,0,2,0,0,0,1,9,0.0025,1,1
0,0,1,0,0,0,0,0,1,6,0.00125,0,0
0,1,0,1,0,0,0,0,0,6,0.00125,0,0
0,2,1,0,1,0,0,0,1,1,0.00125,1,1
1,2,0,0,13,0,0,0,1,7,0.0025,1,1
1,2,0,0,1,0,0,0,1,1,0.018750000000000003,0,0
0,1,1,0,4,0,0,0,1,10,0.008749999999999999,1,1
1,1,0,0,1,0,0,0,1,4,0.00125,0,0
0,0,1,0,2,0,0,0,0,4,0.00125,1,1
1,1,0,1,1,0,0,1,0,4,0.005,0,0
0,1,0,1,3,0,0,0,1,7,0.66375,1,1
1,1,1,0,1,0,0,0,1,7,0.08875000000000001,0,0
1,2,0,1,2,0,0,0,0,2,0.00125,0,0
1,0,1,0,1,0,0,0,1,2,0.00125,0,0
1,1,0,1,6,0,0,0,1,1,0.02875,1,1
1,1,0,1,0,0,0,0,1,5,0.00375,0,0
1,0,1,0,1,0,0,0,0,2,0.0025,1,1
1,0,0,0,0,0,0,0,1,3,0.00125,0,0
0,1,1,0,5,0,0,0,1,7,0.0025,0,0
1,2,0,0,2,0,0,0,0,1,0.005,0,0
1,2,1,0,8,0,0,0,1,4,0.02,0,0
1,1,0,0,8,0,0,0,1,9,0.1475,1,1
1,1,1,0,6,0,0,0,0,6,0.00125,1,1
1,2,0,0,2,0,0,0,1,1,0.23625000000000002,0,0
1,2,0,0,0,0,0,0,1,2,0.00125,0,0
1,2,0,1,1,0,0,0,0,1,0.00125,1,1
1,2,0,1,0,0,0,0,1,1,0.0025,0,0
1,0,0,0,0,0,0,0,1,2,0.0025,0,0
1,0,1,0,1,0,0,0,1,5,0.00125,1,1
1,1,1,0,23,0,0,0,0,8,0.00125,1,1
1,0,1,0,0,0,0,0,0,2,0.0025,1,1
1,2,0,0,1,0,0,0,1,1,0.025,0,0
1,2,1,0,3,0,0,0,1,1,0.00375,1,0
1,1,0,1,8,0,0,0,0,4,0.09,1,1
1,1,1,0,2,0,0,0,0,9,0.00125,1,1
1,1,0,1,0,0,0,0,1,4,0.00125,1,1
1,1,1,0,9,0,0,0,1,9,0.1,1,1
1,1,0,1,2,0,0,0,1,3,0.44875,0,0
1,0,1,0,0,0,0,0,1,3,0.00125,1,1
1,1,1,0,2,0,0,0,0,2,0.0325,1,0
0,0,1,0,1,0,0,0,0,4,0.00125,0,0
1,1,0,0,2,0,0,0,0,3,0.00375,1,1
1,2,0,1,1,0,0,0,1,1,0.0025,0,0
0,1,0,1,0,0,0,0,0,3,0.00125,0,0
1,1,0,1,4,0,0,0,0,4,0.0025,0,0
0,1,1,0,23,0,1,0,1,9,0.00375,1,1
1,0,0,0,5,0,0,0,1,5,0.00125,1,1
1,0,1,0,2,0,0,0,1,10,0.0025,1,1
1,1,1,0,0,0,0,0,0,2,0.00375,0,0
0,1,1,0,0,0,0,0,1,8,0.0375,0,0
0,1,0,1,7,0,0,0,1,9,0.0025,1,1
1,1,1,0,2,0,0,0,1,1,0.0025,0,0
0,1,1,0,1,0,0,0,1,9,0.04875,0,0
1,2,0,1,7,0,0,0,1,1,0.00125,1,1
1,1,1,0,15,0,0,0,1,9,0.0025,0,0
1,0,1,0,2,0,0,0,0,5,0.00125,0,0
0,2,0,1,0,0,0,0,0,1,0.00125,1,1
1,2,0,1,0,0,0,0,0,2,0.00125,0,0
1,1,0,0,1,0,0,0,0,1,0.0025,1,1
1,1,1,0,0,0,0,0,1,1,0.0025,0,0
1,1,0,1,4,0,0,0,1,3,0.0025,1,1
0,1,1,0,2,0,0,0,1,7,0.00375,0,0
0,1,1,0,5,0,0,0,0,6,0.00125,0,0
1,1,1,0,11,0,0,0,1,10,0.27999999999999997,1,1
1,1,1,0,0,0,0,0,0,1,0.0025,1,0
1,1,0,0,4,0,0,0,1,4,0.00375,1,1
1,2,1,0,11,0,0,0,1,9,0.1625,0,0
1,0,1,0,2,0,0,0,1,9,0.09,0,0
1,1,1,0,0,0,0,0,0,1,0.00125,0,0
1,2,0,1,0,0,0,0,1,1,0.00125,0,0
1,1,0,1,13,0,0,0,1,4,0.065,1,1
1,2,1,0,0,0,0,0,1,4,0.0175,0,0
1,1,0,1,1,0,0,0,1,1,0.005,0,0
1,1,1,0,11,2,0,0,0,9,0.0025,1,1
1,1,0,1,1,0,0,0,1,5,0.008749999999999999,0,0
1,0,1,0,0,0,0,0,1,4,0.00125,0,0
1,1,1,0,4,0,0,0,1,2,0.0,0,0
1,0,0,0,4,0,0,0,1,4,0.0025,0,0
1,1,0,1,0,0,0,0,1,8,0.03875,1,1
1,1,0,1,0,0,0,0,1,2,0.045000000000000005,1,1
1,1,1,0,14,0,1,0,1,9,0.0025,0,0
1,2,0,1,1,0,0,0,0,1,0.0025,0,0
1,1,1,0,25,0,0,0,1,8,0.0325,1,1
1,1,0,1,8,0,0,0,0,5,0.00625,1,1
1,0,1,0,0,0,0,0,1,3,0.00125,0,0
1,0,0,1,1,1,0,0,0,8,0.007500000000000001,1,1
0,1,0,0,0,0,0,0,0,1,0.0025,0,0
0,1,0,0,3,0,0,0,1,2,0.0025,0,0
0,1,0,0,0,0,0,0,0,2,0.00125,0,0
1,0,0,0,1,1,0,0,1,6,0.0025,1,1
0,0,0,1,5,4,0,0,1,5,0.00125,1,1
1,0,0,0,0,0,0,0,0,8,0.00125,0,0
1,1,1,0,1,0,0,0,0,3,0.00125,0,0
1,0,1,0,1,0,0,0,1,8,0.0025,1,1
1,1,1,0,2,0,0,0,1,6,0.0025,1,1
1,1,0,0,0,0,0,0,1,1,0.00125,0,0
1,1,1,0,4,0,0,0,1,4,0.00125,0,0
0,1,1,0,2,0,0,0,1,1,0.00125,0,0
1,0,1,0,0,0,0,0,1,8,0.00375,0,0
1,0,0,0,0,1,0,0,1,7,0.00375,0,0
0,2,1,0,0,0,0,0,1,1,0.00125,0,0
0,0,1,0,0,0,0,0,1,4,0.005,1,1
0,2,1,0,0,0,0,0,1,2,0.0025,0,0
1,0,0,1,0,0,0,0,1,5,0.00125,0,0
1,1,0,1,0,0,0,0,1,6,0.0025,1,1
1,1,1,0,11,0,0,0,1,7,0.0025,1,1
1,0,1,0,3,1,1,0,0,10,0.0025,1,1
0,0,0,1,1,0,0,0,1,3,0.00125,0,0
0,1,1,0,2,0,0,0,0,3,0.00125,0,0
0,0,0,0,0,0,0,0,1,2,0.00125,0,0
1,2,1,0,3,0,0,0,1,6,0.03125,1,1
1,1,1,0,0,0,0,0,1,1,0.052500000000000005,0,0
1,1,0,1,3,0,0,0,1,1,0.00375,0,0
1,2,0,1,1,0,0,0,0,1,0.01625,0,0
1,2,0,1,3,0,0,0,1,4,0.018750000000000003,0,0
1,0,1,0,0,0,0,0,0,9,0.0025,1,1
1,1,1,0,1,0,0,0,0,8,0.0025,1,1
1,1,0,0,3,0,0,0,1,1,0.0025,1,1
1,1,0,1,5,0,0,0,0,4,0.0025,0,0
1,1,1,0,5,0,0,0,0,4,0.00125,0,0
1,0,0,1,0,0,0,0,1,5,0.00125,1,1
1,1,1,0,5,0,0,0,1,4,0.00375,1,1
1,1,1,0,6,0,0,0,1,3,0.00375,1,1
1,0,0,0,0,0,0,0,1,3,0.0025,0,0
1,2,0,1,2,0,0,0,1,3,0.0025,0,0
0,0,1,0,0,0,0,0,0,6,0.00125,0,0
1,0,1,0,4,1,0,0,0,8,0.015,1,1
1,2,0,1,0,0,0,0,1,1,0.0025,0,0
1,1,0,1,5,0,0,0,1,3,0.01375,0,0
1,1,0,0,2,0,0,0,1,2,0.01,1,1
0,1,1,0,5,0,0,0,1,1,0.0,0,0
1,0,0,0,0,0,0,0,1,3,0.0575,0,0
1,1,1,0,0,0,0,0,0,1,0.00125,0,0
1,1,0,1,0,0,0,0,0,1,0.0025,1,1
1,1,0,1,3,0,0,0,0,3,0.00125,1,1
0,1,0,1,0,0,0,0,1,2,0.0025,0,0
1,0,0,0,9,0,1,0,1,10,0.00625,1,1
1,1,1,0,0,0,0,0,1,2,0.022500000000000003,0,0
1,0,1,0,0,0,0,0,1,10,0.00125,1,1
0,2,0,1,0,0,0,0,0,1,0.0025,0,0
1,2,0,1,0,0,0,0,0,1,0.0025,0,0
1,1,1,0,7,0,0,0,1,9,0.0025,0,0
1,0,1,0,0,0,0,0,1,9,0.26249999999999996,1,1
1,1,0,1,8,0,0,0,1,5,0.08625000000000001,0,0
1,0,1,0,2,0,1,0,1,9,0.025,1,1
1,2,0,1,36,0,0,0,1,6,0.04125,1,1
1,1,0,1,2,0,0,0,0,3,0.0025,1,1
1,0,0,0,3,0,1,0,1,5,0.02875,1,0
0,1,1,0,0,0,0,0,1,7,0.01625,0,0
0,0,0,1,2,0,0,0,0,4,0.0025,1,1
0,0,0,0,1,0,0,0,0,3,0.00125,1,0
1,1,0,1,1,0,0,0,1,5,0.0025,0,0
0,0,1,0,0,0,0,0,1,8,0.0025,1,1
1,1,0,1,0,0,0,0,0,3,0.00125,0,0
1,0,1,0,0,0,0,0,1,3,0.00125,0,0
1,1,0,0,1,0,0,0,1,2,0.00125,1,1
1,1,1,0,0,0,0,0,1,1,0.0025,0,0
0,1,0,1,0,0,0,0,0,6,0.005,0,0
1,2,0,0,1,0,0,0,0,1,0.0025,0,0
1,1,1,0,12,0,1,0,1,9,0.0025,1,1
1,0,1,0,1,1,0,0,1,6,0.0025,0,0
1,1,1,0,3,0,0,0,1,3,0.00125,0,0
1,1,0,1,0,0,0,0,1,1,0.025,0,0
1,0,1,0,2,0,2,0,1,10,0.0025,1,1
1,1,0,0,0,0,0,0,0,8,0.00375,0,0
1,1,0,0,0,0,0,0,0,1,0.00125,0,0
0,0,0,1,0,2,0,0,1,6,0.00125,0,0
1,2,0,1,0,0,0,0,0,1,0.00125,0,0
1,0,0,1,2,0,0,0,1,6,0.00375,0,0
1,0,1,0,6,1,0,0,0,10,0.005,1,1
1,0,0,1,0,0,0,0,1,4,0.00125,0,0
0,0,1,0,0,0,0,0,1,5,0.00125,1,1
1,2,1,0,3,0,0,0,1,5,0.005,0,0
1,1,1,0,2,1,0,0,0,4,0.06375,1,0
0,2,0,1,0,0,0,0,0,1,0.00125,0,0
1,0,1,0,3,0,0,2,1,10,0.00125,1,1
0,0,0,0,1,0,0,1,1,4,0.00375,0,0
1,1,0,0,1,0,0,0,1,3,0.12000000000000001,0,0
1,1,0,1,0,0,0,0,1,4,0.0025,0,0
1,0,1,0,1,0,1,0,1,3,0.0,1,0
1,0,0,1,2,0,0,0,0,6,0.00125,1,1
1,0,1,0,4,0,0,0,1,9,0.27499999999999997,1,1
1,0,1,0,0,0,0,0,1,5,0.01625,1,1
1,1,0,1,1,0,0,0,0,1,0.00125,0,0
0,2,0,1,1,0,0,0,0,1,0.00125,1,1
1,1,0,1,0,0,0,0,1,7,0.01125,1,1
1,0,1,0,7,0,0,0,1,8,0.16,1,1
0,2,0,1,1,0,0,0,0,1,0.00125,0,0
0,0,1,0,0,0,0,0,1,4,0.0025,0,0
1,1,1,0,1,0,0,0,1,1,0.00625,0,0
1,1,1,0,1,0,0,0,0,3,0.0025,0,0
1,0,1,0,6,0,1,1,1,8,0.0025,1,1
1,0,1,0,4,0,0,0,1,9,0.32625,1,1
1,0,0,1,3,0,0,0,0,7,0.007500000000000001,0,0
1,1,1,0,23,0,0,0,1,9,0.022500000000000003,1,1
1,1,1,0,2,0,0,0,1,5,0.007500000000000001,0,0
1,2,1,0,2,0,0,0,1,1,0.00125,0,0
1,1,1,0,7,0,0,0,1,4,0.0025,1,0
1,1,0,1,23,0,0,1,1,8,0.45125,1,1
0,2,0,1,0,0,0,0,0,1,0.00125,0,0
1,1,1,0,12,0,0,0,1,8,0.04,1,1
1,1,1,0,5,0,0,0,1,9,0.065,1,0
1,1,0,1,3,0,0,0,0,3,0.00125,0,0
0,1,0,0,0,0,0,0,1,2,0.00375,0,0
1,1,1,0,14,0,0,0,1,7,0.00125,1,1
1,1,1,0,2,0,0,1,1,5,0.0025,0,0
1,0,1,0,0,1,0,0,0,9,0.0275,1,1
1,0,0,1,0,0,0,0,1,2,0.00125,0,0
1,2,1,0,5,0,0,0,1,3,0.01625,0,0
1,1,1,0,9,0,0,0,1,8,0.06625,1,1
1,2,0,1,4,0,0,0,1,1,0.01,1,1
1,1,1,0,3,0,0,0,1,2,0.0025,0,0
1,2,0,0,4,0,0,0,1,1,0.0025,0,0
1,0,0,0,1,0,0,0,0,3,0.007500000000000001,0,0
0,1,0,1,0,0,0,0,0,6,0.00125,0,0
1,2,0,1,0,0,0,0,0,1,0.00125,0,0
0,0,1,0,0,0,0,0,1,7,0.00125,0,0
1,2,1,0,11,0,0,0,1,6,0.13875,0,0
1,0,0,1,0,0,0,0,0,2,0.00125,1,1
1,0,0,0,0,0,0,0,0,3,0.00125,0,0
1,0,0,1,0,0,0,0,1,3,0.0025,0,0
0,2,0,1,2,0,0,0,0,1,0.0025,0,0
1,1,1,0,7,0,0,0,0,3,0.0025,1,1
1,0,0,1,1,0,0,0,1,5,0.00125,1,1
1,1,1,0,8,0,0,0,1,6,0.005,1,1
1,1,0,0,1,0,0,0,1,1,0.00375,0,0
1,0,1,0,0,0,0,0,1,7,0.00125,1,1
1,1,0,1,0,0,0,0,0,6,0.007500000000000001,1,1
1,2,1,0,21,0,0,0,0,7,0.075,1,1
1,0,1,0,3,0,0,0,1,7,0.13375,0,0
1,2,0,0,1,0,0,0,0,1,0.00125,1,1
1,1,0,1,0,0,0,0,1,4,0.00125,0,0
1,2,1,0,1,0,0,0,1,5,0.0325,1,1
1,1,0,1,3,0,0,0,0,1,0.0,0,0
1,0,1,0,3,0,0,0,1,4,0.0425,0,0
1,0,0,1,3,1,1,0,1,8,0.00125,1,1
1,1,0,1,0,0,0,0,1,1,0.0025,0,0
1,1,1,0,2,0,0,0,1,6,0.00125,0,0
0,0,1,0,3,0,0,0,1,10,0.0025,1,1
1,0,0,1,1,1,0,0,1,10,0.04125,1,1
1,1,0,1,2,0,0,0,0,1,0.00125,0,0
0,0,0,1,0,0,0,0,1,5,0.00125,0,0
1,1,0,1,0,0,0,0,0,1,0.00125,0,0
1,1,0,0,2,0,0,0,1,5,0.00125,1,1
1,0,1,0,1,1,0,1,1,10,0.0025,1,1
1,0,1,0,1,0,0,0,0,2,0.0025,1,1
1,2,0,1,4,0,0,0,1,1,0.0025,0,0
0,2,1,0,3,0,0,0,1,2,0.0,0,0
1,1,1,0,1,0,0,0,0,1,0.00625,0,0
1,1,1,0,5,0,0,0,1,3,0.0025,0,0
1,0,0,1,0,0,0,0,0,1,0.00125,0,0
0,1,1,0,2,0,0,0,1,10,0.012499999999999999,1,1
1,1,0,1,0,0,0,0,0,1,0.005,1,1
1,0,0,0,0,1,0,0,1,8,0.02875,1,1
1,0,1,0,13,0,0,0,0,8,0.0025,1,1
1,0,1,0,1,0,0,0,0,6,0.0175,1,1
1,1,1,0,3,0,0,0,1,5,0.0025,1,1
1,2,0,1,6,0,0,0,1,5,0.0025,1,1
1,1,0,1,1,0,0,0,1,4,0.00625,1,1
1,2,1,0,5,0,0,0,1,3,0.14875,1,1
1,0,1,0,10,0,1,1,1,9,0.00125,1,1
1,1,1,0,5,0,0,0,1,10,0.0025,0,0
1,2,0,1,2,0,0,0,1,1,0.005,0,0
1,1,1,0,0,0,0,0,1,1,0.0025,0,0
1,0,1,0,6,2,2,1,1,6,0.00125,1,0
1,2,1,0,28,0,0,0,1,9,0.007500000000000001,1,1
1,1,1,0,8,1,0,0,1,7,0.01375,1,1
0,0,1,0,6,0,0,1,1,9,0.03375,1,1
1,2,1,0,2,0,0,0,0,1,0.00125,0,0
1,2,1,0,12,0,0,0,0,6,0.005,1,1
1,0,0,1,1,1,0,0,0,5,0.00125,1,1
1,1,1,0,1,0,0,0,0,2,0.00125,0,0
1,0,1,0,1,0,0,0,1,10,0.00375,1,1
1,2,0,1,0,0,0,0,1,1,0.045000000000000005,0,0
1,0,0,0,0,0,0,0,1,10,0.0025,0,0
1,1,0,1,3,0,0,0,1,2,0.008749999999999999,0,0
1,1,0,1,3,0,0,0,1,1,0.00125,0,0
1,1,0,1,4,0,0,0,1,6,0.0025,1,1
1,2,0,1,0,0,0,0,1,1,0.00125,0,0
1,1,0,0,4,0,0,0,1,1,0.04,1,1
1,2,0,1,1,0,0,0,1,1,0.00125,1,1
1,1,0,0,0,0,0,0,1,6,0.1275,0,0
1,2,0,0,1,0,0,0,1,1,0.01375,0,0
1,1,0,0,2,0,0,0,0,4,0.00125,0,0
0,0,0,1,6,1,0,0,1,9,0.005,1,1
1,0,0,1,2,4,0,0,0,9,0.01125,1,1
1,2,0,0,5,0,0,0,1,7,0.015,1,1
1,0,1,0,1,0,0,0,1,2,0.0025,0,0
0,1,0,1,0,0,0,0,0,2,0.0025,0,0
1,1,0,1,0,0,0,0,0,4,0.0025,1,1
1,2,1,0,0,0,0,0,0,1,0.0025,0,0
1,1,1,0,4,0,0,0,1,4,0.01125,1,1
0,2,0,1,0,0,0,0,0,1,0.00125,0,0
1,1,1,0,0,0,0,0,1,5,0.0025,0,0
1,1,0,1,1,0,0,0,0,3,0.0025,1,1
1,0,0,0,7,0,0,0,1,5,0.0025,1,1
1,2,0,0,20,0,0,0,1,3,0.035,0,0
1,2,1,0,33,0,0,0,1,6,0.0175,1,1
1,0,0,1,2,0,0,0,1,5,0.00125,0,0
1,2,0,1,1,0,0,0,0,1,0.0025,0,0
1,1,0,1,1,0,0,0,1,2,0.09375,0,0
1,2,0,1,4,0,0,0,0,3,0.00125,0,0
1,2,0,0,12,0,0,0,1,5,0.0025,0,0
0,0,1,0,0,0,0,0,0,2,0.0025,0,0
0,2,0,1,0,0,0,0,0,1,0.00125,0,0
1,1,0,0,7,0,0,0,0,4,0.0475,0,0
1,1,0,0,2,0,0,0,0,1,0.0025,0,0
1,1,1,0,2,0,0,0,0,3,0.00125,0,0
0,1,1,0,6,0,0,0,1,4,0.06625,0,0
1,0,0,0,0,0,0,0,0,1,0.0,0,0
1,2,1,0,10,0,0,0,1,7,0.16,1,1
1,1,1,0,5,0,0,0,1,5,0.00375,1,1
1,0,0,1,0,0,0,0,1,2,0.0025,0,0
1,1,0,1,1,0,0,0,1,7,0.1625,1,1
1,2,1,0,4,0,0,0,0,5,0.0025,0,0
1,0,1,0,0,0,0,0,1,4,0.00125,1,1
1,0,0,1,4,0,0,0,1,4,0.007500000000000001,1,1
1,0,0,1,0,0,0,0,1,2,0.02,0,0
1,0,0,1,0,0,0,0,0,9,0.0025,0,0
1,1,0,1,6,3,1,0,1,4,0.0025,1,0
1,0,1,0,1,0,1,0,0,3,0.00125,1,1
1,1,1,0,0,0,0,0,1,2,0.00125,0,0
1,1,1,0,6,0,1,0,1,4,0.00625,1,1
1,1,0,1,1,0,0,0,1,1,0.00125,1,1
1,0,0,1,0,0,0,0,1,3,0.0,1,1
1,1,0,0,1,0,0,0,1,1,0.007500000000000001,0,0
1,0,0,1,0,0,0,0,1,3,0.00125,0,0
1,1,0,0,20,0,1,1,1,10,0.00125,0,0
1,1,1,0,0,0,0,0,1,7,0.00375,0,0
1,1,1,0,14,0,0,0,1,7,0.0025,1,1
1,0,0,1,9,1,0,0,0,10,0.01375,1,1
1,0,0,0,0,0,0,0,1,6,0.00125,1,1
1,1,0,1,1,0,0,0,0,1,0.00125,0,0
1,1,1,0,5,0,0,0,1,9,0.0025,1,1
1,1,0,0,2,0,0,0,0,1,0.00625,1,1
1,1,0,1,2,0,0,0,1,6,0.00125,1,1
1,1,1,0,1,0,0,0,0,3,0.00125,0,0
1,0,0,1,2,0,0,0,1,2,0.00125,0,0
1,1,1,0,8,0,0,0,1,5,0.0025,0,0
1,2,1,0,6,0,0,0,1,6,0.18125,0,0
1,0,1,0,3,1,0,0,1,6,0.0025,1,0
0,1,0,0,0,0,0,0,1,1,0.022500000000000003,0,0
1,1,1,0,3,0,0,0,1,3,0.005,1,1
1,0,1,0,3,0,2,0,1,5,0.0,1,1
1,2,0,1,1,0,0,0,0,1,0.007500000000000001,0,0
1,0,1,0,3,0,1,0,1,7,0.01,1,1
